scan,crop_id,method,n_valid_gt,gt_label,best_pred_label,best_iou,intersection,gt_volume,pred_volume,volume_ratio,relative_volume_error,centroid_error,recovered_iou050,recovered_iou075
EFRGP01_01,crop07,BA-TOS,260,8254,62,0.6075797072388209,12120,12261,19807,1.6154473533969498,0.6154473533969497,10.022904342408594,1,0
EFRGP01_00,crop03,BA-TOS,216,5352,42,0.4193780889621087,12219,12307,29048,2.3602827659055823,1.3602827659055825,9.998317993672035,0,0
EFRGP01_01,crop02,BA-TOS,262,3702,47,0.5827100115074798,12153,12343,20666,1.674309325123552,0.6743093251235518,9.864535347385248,1,0
EFRGP01_00,crop04,BA-TOS,272,7336,63,0.5910463756819954,12133,12217,20444,1.6734059097978229,0.6734059097978227,9.846834295410972,1,0
EFRGP01_00,crop05,BA-TOS,129,22220,91,0.4137361340571159,12271,12374,29556,2.3885566510425087,1.3885566510425085,9.733091023774266,0,0
EFRGP01_01,crop06,BA-TOS,265,6991,296,0.5640823152320342,12143,12304,21366,1.7365084525357608,0.7365084525357607,9.725553362301628,1,0
EFRGP01_00,crop06,BA-TOS,271,6600,115,0.51075449504285,12158,12231,23731,1.9402338320660617,0.9402338320660616,9.672800821265668,1,0
EFRGP01_01,crop05,BA-TOS,128,22220,97,0.417908909802844,12167,12293,28988,2.35808996990157,1.35808996990157,9.665512926484364,0,0
EFRGP01_01,crop03,BA-TOS,213,2459,112,0.4908835341365462,12223,12344,24779,2.0073720025923527,1.0073720025923525,9.648268854820278,0,0
EFRGP01_00,crop07,BA-TOS,263,8254,54,0.6049283379431732,12029,12118,19796,1.633602904769764,0.633602904769764,9.619490789448566,1,0
EFRGP01_01,crop07,BA-TOS,260,8938,360,0.4162905141693535,12266,12339,29392,2.382040684010049,1.3820406840100494,9.579037409772004,0,0
EFRGP01_01,crop05,BA-TOS,128,20562,167,0.5438642989663398,12312,12586,22364,1.7768949626569204,0.7768949626569204,9.552007922154084,1,0
EFRGP01_01,crop07,BA-TOS,260,8213,43,0.5708668702007587,12341,12512,21447,1.714114450127877,0.7141144501278772,9.518229759337368,1,0
EFRGP01_00,crop06,BA-TOS,271,7129,343,0.4359421734795613,12243,12299,28028,2.2788844621513946,1.2788844621513944,9.509971189797817,0,0
EFRGP01_01,crop02,BA-TOS,262,5326,61,0.6393888656341565,12220,12395,18937,1.5277934651068978,0.527793465106898,9.4772814021322,1,0
EFRGP01_00,crop07,BA-TOS,263,8791,301,0.5643748835476058,12116,12293,21291,1.7319612787765395,0.7319612787765395,9.469907379706529,1,0
EFRGP01_01,crop02,BA-TOS,262,13797,209,0.5784113083622864,12153,12360,20804,1.6831715210355986,0.6831715210355987,9.462614486410226,1,0
