scan,crop_id,method,threshold,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio
EFRGP01_00,crop05,Otsu+WS,0.5,129,229,129,100,126,3,3,0.9767441860465116,0.9767441860465116,0.9767441860465116,1.0
EFRGP01_00,crop05,Otsu+WS,0.75,129,229,129,100,67,62,62,0.5193798449612403,0.5193798449612403,0.5193798449612403,1.0
EFRGP01_00,crop05,Min-tree-core+WS,0.25,129,229,128,101,128,0,1,1.0,0.992248062015504,0.9961089494163424,0.992248062015504
EFRGP01_00,crop05,Min-tree-core+WS,0.5,129,229,128,101,127,1,2,0.9921875,0.9844961240310076,0.9883268482490272,0.992248062015504
EFRGP01_00,crop05,Min-tree-core+WS,0.75,129,229,128,101,124,4,5,0.96875,0.9612403100775194,0.9649805447470816,0.992248062015504
EFRGP01_01,crop05,BA-TOS,0.25,128,187,127,60,127,0,1,1.0,0.9921875,0.996078431372549,0.9921875
EFRGP01_01,crop05,BA-TOS,0.5,128,187,127,60,119,8,9,0.937007874015748,0.9296875,0.9333333333333332,0.9921875
EFRGP01_01,crop05,BA-TOS,0.75,128,187,127,60,60,67,68,0.4724409448818897,0.46875,0.4705882352941176,0.9921875
EFRGP01_01,crop05,Otsu+WS,0.25,128,226,128,98,128,0,0,1.0,1.0,1.0,1.0
EFRGP01_01,crop05,Otsu+WS,0.5,128,226,128,98,125,3,3,0.9765625,0.9765625,0.9765625,1.0
EFRGP01_01,crop05,Otsu+WS,0.75,128,226,128,98,68,60,60,0.53125,0.53125,0.53125,1.0
EFRGP01_01,crop05,Min-tree-core+WS,0.25,128,236,129,107,128,1,0,0.992248062015504,1.0,0.9961089494163424,1.0078125
EFRGP01_01,crop05,Min-tree-core+WS,0.5,128,236,129,107,128,1,0,0.992248062015504,1.0,0.9961089494163424,1.0078125
EFRGP01_01,crop05,Min-tree-core+WS,0.75,128,236,129,107,124,5,4,0.9612403100775194,0.96875,0.9649805447470816,1.0078125
EFRGP01_00,crop06,BA-TOS,0.25,271,367,267,100,267,0,4,1.0,0.985239852398524,0.9925650557620818,0.985239852398524
EFRGP01_00,crop06,BA-TOS,0.5,271,367,267,100,264,3,7,0.9887640449438202,0.974169741697417,0.9814126394052044,0.985239852398524
EFRGP01_00,crop06,BA-TOS,0.75,271,367,267,100,218,49,53,0.8164794007490637,0.8044280442804428,0.8104089219330854,0.985239852398524
EFRGP01_00,crop06,Otsu+WS,0.25,271,526,331,195,271,60,0,0.8187311178247734,1.0,0.9003322259136213,1.2214022140221403
EFRGP01_00,crop06,Otsu+WS,0.5,271,526,331,195,255,76,16,0.770392749244713,0.940959409594096,0.8471760797342193,1.2214022140221403
EFRGP01_00,crop06,Otsu+WS,0.75,271,526,331,195,213,118,58,0.6435045317220544,0.7859778597785978,0.707641196013289,1.2214022140221403
EFRGP01_00,crop06,Min-tree-core+WS,0.25,271,248,178,70,177,1,94,0.99438202247191,0.6531365313653137,0.7884187082405345,0.6568265682656826
EFRGP01_00,crop06,Min-tree-core+WS,0.5,271,248,178,70,105,73,166,0.5898876404494382,0.3874538745387454,0.4677060133630289,0.6568265682656826
EFRGP01_00,crop06,Min-tree-core+WS,0.75,271,248,178,70,64,114,207,0.3595505617977528,0.2361623616236162,0.2850779510022271,0.6568265682656826
EFRGP01_01,crop06,BA-TOS,0.25,265,373,261,112,261,0,4,1.0,0.9849056603773584,0.9923954372623576,0.9849056603773584
EFRGP01_01,crop06,BA-TOS,0.5,265,373,261,112,259,2,6,0.992337164750958,0.9773584905660376,0.9847908745247148,0.9849056603773584
EFRGP01_01,crop06,BA-TOS,0.75,265,373,261,112,215,46,50,0.8237547892720306,0.8113207547169812,0.8174904942965779,0.9849056603773584
EFRGP01_01,crop06,Otsu+WS,0.25,265,536,316,220,265,51,0,0.8386075949367089,1.0,0.9122203098106711,1.1924528301886792
EFRGP01_01,crop06,Otsu+WS,0.5,265,536,316,220,255,61,10,0.8069620253164557,0.9622641509433962,0.8777969018932875,1.1924528301886792
EFRGP01_01,crop06,Otsu+WS,0.75,265,536,316,220,210,106,55,0.6645569620253164,0.7924528301886793,0.7228915662650603,1.1924528301886792
EFRGP01_01,crop06,Min-tree-core+WS,0.25,265,251,179,72,178,1,87,0.994413407821229,0.6716981132075471,0.8018018018018018,0.6754716981132075
EFRGP01_01,crop06,Min-tree-core+WS,0.5,265,251,179,72,113,66,152,0.6312849162011173,0.4264150943396226,0.509009009009009,0.6754716981132075
EFRGP01_01,crop06,Min-tree-core+WS,0.75,265,251,179,72,68,111,197,0.3798882681564245,0.2566037735849056,0.3063063063063063,0.6754716981132075
EFRGP01_00,crop07,BA-TOS,0.25,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148
EFRGP01_00,crop07,BA-TOS,0.5,263,388,259,129,259,0,4,1.0,0.9847908745247148,0.992337164750958,0.9847908745247148
EFRGP01_00,crop07,BA-TOS,0.75,263,388,259,129,228,31,35,0.8803088803088803,0.8669201520912547,0.8735632183908046,0.9847908745247148
EFRGP01_00,crop07,Otsu+WS,0.25,263,599,320,279,263,57,0,0.821875,1.0,0.902229845626072,1.2167300380228137
EFRGP01_00,crop07,Otsu+WS,0.5,263,599,320,279,250,70,13,0.78125,0.9505703422053232,0.8576329331046312,1.2167300380228137
EFRGP01_00,crop07,Otsu+WS,0.75,263,599,320,279,212,108,51,0.6625,0.8060836501901141,0.7272727272727273,1.2167300380228137
EFRGP01_00,crop07,Min-tree-core+WS,0.25,263,183,94,89,74,20,189,0.7872340425531915,0.2813688212927757,0.4145658263305322,0.3574144486692015
EFRGP01_00,crop07,Min-tree-core+WS,0.5,263,183,94,89,37,57,226,0.3936170212765957,0.1406844106463878,0.2072829131652661,0.3574144486692015
EFRGP01_00,crop07,Min-tree-core+WS,0.75,263,183,94,89,28,66,235,0.2978723404255319,0.1064638783269961,0.1568627450980391,0.3574144486692015
EFRGP01_01,crop07,BA-TOS,0.25,260,390,254,136,254,0,6,1.0,0.9769230769230768,0.9883268482490272,0.9769230769230768
EFRGP01_01,crop07,BA-TOS,0.5,260,390,254,136,254,0,6,1.0,0.9769230769230768,0.9883268482490272,0.9769230769230768
EFRGP01_01,crop07,BA-TOS,0.75,260,390,254,136,223,31,37,0.8779527559055118,0.8576923076923076,0.867704280155642,0.9769230769230768
EFRGP01_01,crop07,Otsu+WS,0.25,260,597,310,287,260,50,0,0.8387096774193549,1.0,0.912280701754386,1.1923076923076923
EFRGP01_01,crop07,Otsu+WS,0.5,260,597,310,287,248,62,12,0.8,0.953846153846154,0.8701754385964914,1.1923076923076923
EFRGP01_01,crop07,Otsu+WS,0.75,260,597,310,287,216,94,44,0.6967741935483871,0.8307692307692308,0.7578947368421053,1.1923076923076923
EFRGP01_01,crop07,Min-tree-core+WS,0.25,260,203,112,91,92,20,168,0.8214285714285714,0.3538461538461538,0.4946236559139785,0.4307692307692308
EFRGP01_01,crop07,Min-tree-core+WS,0.5,260,203,112,91,47,65,213,0.4196428571428571,0.1807692307692307,0.2526881720430107,0.4307692307692308
EFRGP01_01,crop07,Min-tree-core+WS,0.75,260,203,112,91,36,76,224,0.3214285714285714,0.1384615384615384,0.1935483870967742,0.4307692307692308
