method,scan,crop_id,threshold,gt,pred,gt_valid,pred_total,pred_eval,pred_ignored_border,tp,fp,fn,precision,recall,f1,overseg_ratio_pred_eval_gt
EFRGP01_00_crop06_BA_TOS_LS_iou_0p25,EFRGP01_00,crop06,0.25,results_batos/EFRGP01_00_extra_crops/crop06_x350_y650_z500_s200/00_input/crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop06/EFRGP01_00_crop06_batos_local_split_labels.tif,271,380,269,111,269,0,2,1.0,0.992619926199262,0.9962962962962962,0.992619926199262
EFRGP01_00_crop06_BA_TOS_LS_iou_0p50,EFRGP01_00,crop06,0.5,results_batos/EFRGP01_00_extra_crops/crop06_x350_y650_z500_s200/00_input/crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop06/EFRGP01_00_crop06_batos_local_split_labels.tif,271,380,269,111,267,2,4,0.9925650557620818,0.985239852398524,0.9888888888888888,0.992619926199262
EFRGP01_00_crop06_BA_TOS_LS_iou_0p75,EFRGP01_00,crop06,0.75,results_batos/EFRGP01_00_extra_crops/crop06_x350_y650_z500_s200/00_input/crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop06/EFRGP01_00_crop06_batos_local_split_labels.tif,271,380,269,111,222,47,49,0.8252788104089219,0.8191881918819188,0.8222222222222222,0.992619926199262
EFRGP01_01_crop06_BA_TOS_LS_iou_0p25,EFRGP01_01,crop06,0.25,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/00_input/EFRGP01_01_crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop06/EFRGP01_01_crop06_batos_local_split_labels.tif,265,383,266,117,265,1,0,0.9962406015037594,1.0,0.9981167608286252,1.0037735849056604
EFRGP01_01_crop06_BA_TOS_LS_iou_0p50,EFRGP01_01,crop06,0.5,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/00_input/EFRGP01_01_crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop06/EFRGP01_01_crop06_batos_local_split_labels.tif,265,383,266,117,261,5,4,0.981203007518797,0.9849056603773584,0.983050847457627,1.0037735849056604
EFRGP01_01_crop06_BA_TOS_LS_iou_0p75,EFRGP01_01,crop06,0.75,results_batos/EFRGP01_01_selected_crops/crop06_x350_y650_z500_s200/00_input/EFRGP01_01_crop06_x350_y650_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop06/EFRGP01_01_crop06_batos_local_split_labels.tif,265,383,266,117,217,49,48,0.8157894736842105,0.8188679245283019,0.8173258003766477,1.0037735849056604
EFRGP01_00_crop07_BA_TOS_LS_iou_0p25,EFRGP01_00,crop07,0.25,results_batos/EFRGP01_00_extra_crops/crop07_x700_y400_z500_s200/00_input/crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop07/EFRGP01_00_crop07_batos_local_split_labels.tif,263,412,262,150,262,0,1,1.0,0.9961977186311788,0.998095238095238,0.9961977186311788
EFRGP01_00_crop07_BA_TOS_LS_iou_0p50,EFRGP01_00,crop07,0.5,results_batos/EFRGP01_00_extra_crops/crop07_x700_y400_z500_s200/00_input/crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop07/EFRGP01_00_crop07_batos_local_split_labels.tif,263,412,262,150,262,0,1,1.0,0.9961977186311788,0.998095238095238,0.9961977186311788
EFRGP01_00_crop07_BA_TOS_LS_iou_0p75,EFRGP01_00,crop07,0.75,results_batos/EFRGP01_00_extra_crops/crop07_x700_y400_z500_s200/00_input/crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_00/crop07/EFRGP01_00_crop07_batos_local_split_labels.tif,263,412,262,150,233,29,30,0.8893129770992366,0.8859315589353612,0.8876190476190476,0.9961977186311788
EFRGP01_01_crop07_BA_TOS_LS_iou_0p25,EFRGP01_01,crop07,0.25,results_batos/EFRGP01_01_selected_crops/crop07_x700_y400_z500_s200/00_input/EFRGP01_01_crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop07/EFRGP01_01_crop07_batos_local_split_labels.tif,260,411,258,153,258,0,2,1.0,0.9923076923076924,0.996138996138996,0.9923076923076924
EFRGP01_01_crop07_BA_TOS_LS_iou_0p50,EFRGP01_01,crop07,0.5,results_batos/EFRGP01_01_selected_crops/crop07_x700_y400_z500_s200/00_input/EFRGP01_01_crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop07/EFRGP01_01_crop07_batos_local_split_labels.tif,260,411,258,153,258,0,2,1.0,0.9923076923076924,0.996138996138996,0.9923076923076924
EFRGP01_01_crop07_BA_TOS_LS_iou_0p75,EFRGP01_01,crop07,0.75,results_batos/EFRGP01_01_selected_crops/crop07_x700_y400_z500_s200/00_input/EFRGP01_01_crop07_x700_y400_z500_s200_label_crop.tif,results_batos/paper_tables/batos_local_split_large_labels/EFRGP01_01/crop07/EFRGP01_01_crop07_batos_local_split_labels.tif,260,411,258,153,228,30,32,0.8837209302325582,0.8769230769230769,0.8803088803088803,0.9923076923076924
